GTD ID,DATE,REGION,COUNTRY,CITY,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED
201709090013,9/9/17,Middle East & North Africa,Israel,Sajur,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201709020019,9/2/17,Middle East & North Africa,West Bank and Gaza Strip,Nili,Unknown,Armed Assault,Firearms,Military,0,0
201708230030,8/23/17,Middle East & North Africa,Israel,Jerusalem,Unknown,Armed Assault,Melee,Private Citizens & Property,0,0
201708190020,8/19/17,Middle East & North Africa,West Bank and Gaza Strip,Tapuah,Palestinian Extremists,Armed Assault,Melee,Police,1,1
201708170021,8/17/17,Middle East & North Africa,West Bank and Gaza Strip,Rafah,Islamic State of Iraq and the Levant (ISIL) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General),2,5
201708160033,8/16/17,Middle East & North Africa,West Bank and Gaza Strip,Bethlehem,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
201708090020,8/9/17,Middle East & North Africa,West Bank and Gaza Strip,Umm Safa,Israeli settlers,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201708060052,8/6/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,Arab-Israeli extremists,Armed Assault,Incendiary,Private Citizens & Property,0,0
201708050017,8/5/17,Middle East & North Africa,West Bank and Gaza Strip,Ofra,Unknown,Armed Assault,Incendiary,Private Citizens & Property,0,0
201708050016,8/5/17,Middle East & North Africa,West Bank and Gaza Strip,Beit El,Palestinian Extremists,Armed Assault,Firearms,Military,0,0
201708020031,8/2/17,Middle East & North Africa,Israel,Yavneh,Palestinian Extremists,Armed Assault,Melee,Business,0,1
201707280025,7/28/17,Middle East & North Africa,West Bank and Gaza Strip,Alon Shvut,Palestinian Extremists,Armed Assault,Melee,Military,1,0
201707240013,7/24/17,Middle East & North Africa,Israel,Petah Tivka,Palestinian Extremists,Armed Assault,Melee,Private Citizens & Property,0,1
201707210030,7/21/17,Middle East & North Africa,West Bank and Gaza Strip,Halamish,Palestinian Extremists,Armed Assault,Melee,Private Citizens & Property,3,2
201707200023,7/20/17,Middle East & North Africa,West Bank and Gaza Strip,Tekoa,Palestinian Extremists,Armed Assault,Melee,Military,1,0
201707180026,7/18/17,Middle East & North Africa,West Bank and Gaza Strip,Beit Einun,Palestinian Extremists,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,1,2
201707170032,7/17/17,Middle East & North Africa,Israel,Maghar,Unknown,Armed Assault,Firearms,Religious Figures/Institutions,0,0
201707170031,7/17/17,Middle East & North Africa,Israel,Maghar,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Religious Figures/Institutions,0,0
201707170020,7/17/17,Middle East & North Africa,West Bank and Gaza Strip,Hebron,Unknown,Unarmed Assault,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,0,0
201707150025,7/15/17,Middle East & North Africa,Israel,Maghar,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Religious Figures/Institutions,0,0
201707140015,7/14/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,"Arab-Israeli extremists,Islamic Movement (Israel) (suspected)",Armed Assault,Firearms,Police,5,3
201707100022,7/10/17,Middle East & North Africa,West Bank and Gaza Strip,Tekoa,Palestinian Extremists,Armed Assault,"Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Military,1,1
201707050033,7/5/17,Middle East & North Africa,West Bank and Gaza Strip,Nabi Saleh,Palestinian Extremists,Armed Assault,Firearms,Military,0,0
201707040025,7/4/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,Palestinian Extremists,Armed Assault,"Explosives/Bombs/Dynamite,Incendiary,Melee",Police,0,0
201706200010,6/20/17,Middle East & North Africa,West Bank and Gaza Strip,Qalandiyah,Palestinian Extremists,Armed Assault,Melee,Military,1,0
201706160031,6/16/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,"Hamas (Islamic Resistance Movement),Islamic State of Iraq and the Levant (ISIL) (suspected),Popular Front for the Liberation of Palestine (PFLP)",Armed Assault,"Firearms,Melee",Police,2,4
201706160018,6/16/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,"Hamas (Islamic Resistance Movement),Islamic State of Iraq and the Levant (ISIL) (suspected),Popular Front for the Liberation of Palestine (PFLP)",Armed Assault,Melee,Police,2,0
201706030040,6/3/17,Middle East & North Africa,Israel,Deir al-Assad,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
201706010018,6/1/17,Middle East & North Africa,West Bank and Gaza Strip,Mevo Dotan,Palestinian Extremists,Armed Assault,Melee,Military,1,1
201705240034,5/24/17,Middle East & North Africa,Israel,Ara,Unknown,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201705230020,5/23/17,Middle East & North Africa,Israel,Netanya,Palestinian Extremists,Armed Assault,Melee,Police,1,2
201705220018,5/22/17,Middle East & North Africa,West Bank and Gaza Strip,Abu Dis,Palestinian Extremists,Armed Assault,Melee,Police,1,0
201705180052,5/19/17,Middle East & North Africa,West Bank and Gaza Strip,Burin,Israeli settlers,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property,0,0
201705130019,5/13/17,Middle East & North Africa,West Bank and Gaza Strip,Jerusalem,Jordanian extremists,Armed Assault,Melee,Police,1,2
201705120032,5/12/17,Middle East & North Africa,Israel,Migdal HaEmek,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
